Country Name	Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Afghanistan	AFG	6339095	6306301	4552153	3374576	2731169	2679133	2674236	2676674	2667115	2601691	3587336	3809767	2510294	2136043	2414401	2166149	2107519	3057661	2833128	2887123	3054709	2664436	2586152	2556556	2596270	2666254
Albania	ALB	1822	3540	4353	4744	5019	5803	5785	5379	5353	6288	6802	7626	10761	10385	10470	12722	14080	15340	15006	15711	14772	13551	12568	10084	10158	10421
Algeria	DZA	19	55	71	86	20743	1520	2247	3418	5727	7151	8034	8418	12107	11667	10691	12041	8353	10615	9060	8185	6689	6121	5677	3662	3524	3490
Andorra	AND	NA	NA	NA	NA	2	2	3	1	2	3	2	1	10	10	3	9	10	9	6	6	6	6	7	5	7	5
Angola	AGO	407760	381636	300492	323831	282577	246657	249687	267696	319430	353478	433760	470625	435421	329583	228838	215827	206501	186155	171393	141021	134858	128664	19258	10297	9484	11869
Antigua and Barbuda	ATG	NA	NA	NA	NA	NA	NA	NA	1	2	2	1	4	5	5	13	13	19	25	26	28	30	32	45	49	53	56
Argentina	ARG	334	198	113	98	469	330	217	159	142	586	609	659	771	784	796	856	894	1171	1047	608	557	518	447	388	318	194
Armenia	ARM	1	1	195003	200116	201842	201442	203231	203690	193150	193231	5786	7207	13249	13162	13424	13965	14918	15436	16336	18000	17547	16487	15935	12021	11848	11218
Australia	AUS	NA	NA	NA	NA	2	1	1	2	1	3	3	1	10	15	13	44	29	63	43	28	37	39	48	28	25	20
Austria	AUT	NA	NA	NA	NA	60	49	52	55	60	48	35	29	72	66	47	66	34	23	14	12	10	11	12	10	10	4
Azerbaijan	AZE	NA	NA	300000	328005	299095	200520	236086	234950	329657	311131	284277	268759	260214	253255	250583	233675	126068	15916	16319	16939	16753	16162	15537	10813	10515	9712
Bahrain	BHR	39	52	53	60	75	71	63	82	97	129	95	46	50	52	52	41	62	73	80	79	87	215	297	275	347	421
Bangladesh	BGD	477	611	53921	57158	56199	56956	57959	44373	4658	4468	5401	5548	5808	5565	5731	7304	7803	10243	10098	10432	10049	10056	10161	9839	10883	12173
Barbados	BRB	NA	NA	NA	NA	4	3	2	3	5	4	8	7	9	11	7	8	27	38	34	29	32	45	55	67	86	99
Belarus	BLR	NA	NA	NA	2	37	84	501	303	290	1507	2519	3696	6364	7815	8244	8857	9371	4970	5384	5525	5743	5925	6191	4444	4300	4124
Belgium	BEL	NA	NA	NA	NA	2	3	5	10	14	16	19	13	27	40	45	95	64	60	61	71	83	90	93	78	75	65
Belize	BLZ	NA	NA	NA	NA	8	8	3	NA	NA	11	12	NA	1	10	9	8	18	17	20	17	23	32	39	40	45	51
Benin	BEN	2	4	4	68	77	54	46	46	56	52	54	55	232	282	309	411	215	271	318	411	442	461	457	305	340	412
Bhutan	BTN	NA	9504	75442	85334	103271	104750	106822	108703	105689	107619	108945	110845	112523	103978	105255	106537	108073	110598	104965	89070	75070	57989	41590	31567	23642	17720
Bolivia	BOL	731	67	28	41	177	180	177	161	183	174	175	156	219	264	285	269	374	428	454	573	590	611	618	601	600	570
Bosnia and Herzegovina	BIH	NA	NA	437501	618427	776084	769753	993868	849241	640075	598193	504981	447321	406448	300006	228831	109930	199946	78273	74366	70018	63004	58578	51822	26811	21888	18769
